STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Nevada,,"Price, Nancy",,D,4210,,
Nevada,,"Brown, Steve",,D,3998,,
Nevada,,None of These Candidates,,D,3637,,
Nevada,,"Ellsworth, Barry",,D,2491,,
Nevada,,"Macias, Louis",,D,1714,,
Nevada,,,Party Votes:,D,78132,,
Nevada,,"VanderBeek, David Lory",,IAP,,48792,
Nevada,,None of These Candidates,,,,45277,
Nevada,,,Total State Votes:,,181240,997805,
,,,,,,,
,,,,,,,
New Jersey,,,,,,,
New Jersey,(I),"Menendez, Robert",,D,272201,1985783,
New Jersey,,,Party Votes:,D,272201,,
New Jersey,,"Kyrillos, Joe",,R,163817,1329405,
New Jersey,,"Brown, David Douglas",,R,19238,,
New Jersey,,"Rullo, Joe ""Rudy""",,R,17161,,
New Jersey,,"Qarmout, Bader G.",,R,12823,,
New Jersey,,,Party Votes:,R,213039,,
New Jersey,,"Kaplan, Kenneth R.",,LIB,,16803,
New Jersey,,"Wolski, Ken",,GRE,,15799,
New Jersey,,"Diakos, Gwen",,JSI,,9377,
New Jersey,,"Dranikoff, J. David",,TIC,,3830,
New Jersey,,"Soni, Inder ""Andy""",,AF,,3595,
New Jersey,,"Turkavage, Robert ""Turk""",,RFI,,3544,
New Jersey,,"Pason, Gregory",,SUS,,2256,
New Jersey,,"Lavergne, Eugene Martin",,NS,,2201,
New Jersey,,"Brooks, Daryl Mikell",,RN,,2075,
New Jersey,,,Total State Votes:,,485240,3374668,
,,,,,,,
New Mexico,,,,,,,
New Mexico,,"Heinrich, Martin T.",,D,83432,395717,
New Mexico,,"Balderas, Hector",,D,58128,,
New Mexico,,,Party Votes:,D,141560,,
New Mexico,,"Wilson, Heather A.",,R,63631,351260,
New Mexico,,"Sowards, Greg",,R,27214,,
New Mexico,,,Party Votes:,R,90845,,
New Mexico,,"Barrie, Jon R.",,IAP,,28199,
New Mexico,,"Anderson, Robert L.",,W,,617,
New Mexico,,,Total State Votes:,,232405,775793,
,,,,,,,
New York,,,,,,,
New York,(I),"Gillibrand, Kirsten E.",,D/WF/IDP Combined Parties,,4822330,
New York,(I),"Gillibrand, Kirsten E.",,D,Unopposed,4432525,
New York,(I),"Gillibrand, Kirsten E.",,WF,Unopposed,251292,
New York,(I),"Gillibrand, Kirsten E.",,IDP,Unopposed,138513,
New York,,"Long, Wendy",,R/CRV Combined Parties,,1758702,
New York,,"Long, Wendy",,CRV,Unopposed,241124,
New York,,"Long, Wendy",,R,75924,1517578,
New York,,"Turner, Bob",,R,54196,,
New York,,"Maragos, George",,R,21002,,
New York,,,Party Votes:,R,151122,,
New York,,"Clark, Colia",,GRE,Unopposed,42591,
New York,,"Edes, Chris",,LIB, ,32002,
New York,,"Mangelli, John",,CSP, ,22041,
New York,,Scattered,,W,,2012,
New York,,,Total State Votes:,,151122,6679678,
,,,,,,,
North Dakota,,,,,,,
North Dakota,,"Heitkamp, Heidi",,DNL,57246,161163,
North Dakota,,Scattered,,W(DNL),87,,
North Dakota,,,Party Votes:,DNL,57333,,
North Dakota,,"Berg, Rick",,R,67860,158282,
North Dakota,,"Sand, Duane",,R,34213,,
North Dakota,,Scattered,,W(R),111,,
North Dakota,,,Party Votes:,R,102184,,
North Dakota,,Scattered (Nonqualified Candidates),,W(CON),29,,
North Dakota,,"Heitkamp, Heidi",,W(CON),4,,
North Dakota,,"Berg, Rick",,W(CON),1,,
North Dakota,,"Garaas, Stephen",,W(CON),1,,
North Dakota,,"Kirkeby, Jason",,W(CON),1,,
North Dakota,,"Lies, George",,W(CON),1,,
North Dakota,,"Monson, Sheldon",,W(CON),1,,
North Dakota,,"Piper, Ron",,W(CON),1,,
North Dakota,,"Sand, Duane",,W(CON),1,,
North Dakota,,"Winegar, Julia",,W(CON),1,,
North Dakota,,,Party Votes:,CON,41,,
North Dakota,,Scattered (Nonqualified Candidates),,W(LIB),78,,
North Dakota,,"Finch, Edward",,W(LIB),2,,
North Dakota,,"Olson, Eric",,W(LIB),2,,
North Dakota,,"Berg, Rick",,W(LIB),1,,
North Dakota,,"Brandenberg, Ross",,W(LIB),1,,
North Dakota,,"Clemetson, Riley",,W(LIB),1,,
North Dakota,,"Collins, Rory",,W(LIB),1,,
North Dakota,,"Ebans, Matthew",,W(LIB),1,,
North Dakota,,"Heitkamp, Heidi",,W(LIB),1,,
North Dakota,,"Henderson, Paul",,W(LIB),1,,
North Dakota,,"Hoffart, Mitch",,W(LIB),1,,
North Dakota,,"Kuntz, Janine",,W(LIB),1,,
North Dakota,,"Paul, Ron",,W(LIB),1,,
North Dakota,,"Peltier, Leonard",,W(LIB),1,,
North Dakota,,"Sand, Duane",,W(LIB),1,,
North Dakota,,"Simonsen, Kim",,W(LIB),1,,
North Dakota,,"Stark, Gwen",,W(LIB),1,,
North Dakota,,,Party Votes:,LIB,96,,
North Dakota,,Scattered,,W,,1406,
North Dakota,,,Total State Votes:,,159654,320851,
,,,,,,,
Ohio,,,,,,,
Ohio,(I),"Brown, Sherrod",,D,522827,2762766,
Ohio,,,Party Votes:,D,522827,,
Ohio,,"Mandel, Josh",,R,586556,2435744,
Ohio,,"Pryce, Michael L.",,R,132205,,
Ohio,,"Glisman, Donna K.",,R,115621,,
Ohio,,"Dodt, David W.",,R,47933,,
Ohio,,"Gregory, Eric LaMont",,R,47740,,
Ohio,,"Bliss, Russell P., Jr.",,W(R),644,,
Ohio,,,Party Votes:,R,930699,,
Ohio,,"Rupert, Scott A.",,NON,,250617,
Ohio,,"DeMare, Joseph Rosario",,W(GRE),324,,
Ohio,,"Rios, Anita",,W(GRE),74,,
Ohio,,,Party Votes:,GRE,398,,
Ohio,,"Fockler, John",,W(LIB),337,,
Ohio,,,Party Votes:,LIB,337,,
Ohio,,,Total State Votes:,,1454261,5449127,
,,,,,,,
Pennsylvania,,,,,,,
Pennsylvania,(I),"Casey, Bob, Jr.",,D,565488,3021364,
Pennsylvania,,"Vodvarka, Joseph John",,D,133683,,
Pennsylvania,,Scattered,,W(D),2441,,
Pennsylvania,,,Party Votes:,D,701612,,
Pennsylvania,,"Smith, Tom",,R,299726,2509132,
Pennsylvania,,"Rohrer, Sam",,R,169118,,
Pennsylvania,,"Welch, Steven D.",,R,158181,,
Pennsylvania,,"Christian, David Alan",,R,79581,,
Pennsylvania,,"Scaringi, Marc A.",,R,51908,,
