STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Virginia,,,Party Votes:,D,155784,
Virginia,(I),"Allen, George F.",,R,Unopposed,1166277
Virginia,,"Parker, Glenda Gail",,IGR,,26102
Virginia,,Scattered,,W,,2460
Virginia,,,Senate Votes:,,155784,2370445
Washington,(I),"Cantwell, Maria ",,D,568935,1184659
Washington,,"Tran, Hong",,D,33097,
Washington,,"Mover, Mike the",,D,11213,
Washington,,"Nelson, Michael Goodspaceguy",,D,9389,
Washington,,"Said, Mohammad H.",,D,4214,
Washington,,,Party Votes:,D,626848,
Washington,,"McGavick, Mike",,R,395614,832106
Washington,,"Klippert, Brad",,R,32073,
Washington,,"Hanson, Warren E. ",,R,17756,
Washington,,"Massoudi, B. Barry",,R,6370,
Washington,,"Pross, Gordon Allen ",,R,5165,
Washington,,"Chovil, William Edward",,R,3642,
Washington,,,Party Votes:,R,460620,
Washington,,"Guthrie, Bruce",,LBT,,29331
Washington,,"Dixon, Aaron",,GRE,,21254
Washington,,"Adair, Robin ",,IND,,16384
Washington,,,Senate Votes:,,2174936,2083734
West Virginia,(I),"Byrd, Robert C.",,D,159154,296276
West Virginia,,"Hendricks, Billy, Jr.",,D,26609,
West Virginia,,,Party Votes:,D,185763,
West Virginia,,"Raese, John R.",,R,47408,155043
West Virginia,,"Lewis, Hiram",,R,18496,
West Virginia,,"Snuffer, Rick",,R,4870,
West Virginia,,"Railey, Charles G. ""Bud""",,R,4364,
West Virginia,,"Brown, Paul J.",,R,3464,
West Virginia,,"Lawhorn, Zane",,R,2723,
West Virginia,,,Party Votes:,R,81325,
West Virginia,,"Johnson, Jesse",,MTP,*,8565
West Virginia,,,Senate Votes:,,267088,459884
Wisconsin,(I),"Kohl, Herb",,D,308178,1439214
Wisconsin,,"Masel, Ben ",,D,51245,
Wisconsin,,Scattered,,W(D),335,
Wisconsin,,,Party Votes:,D,359758,
Wisconsin,,"Lorge, Robert Gerald ",,R,194633,630299
Wisconsin,,Scattered,,W(R),530,
Wisconsin,,,Party Votes:,R,195163,
Wisconsin,,Scattered,,W(CON),5,
Wisconsin,,,Party Votes:,CON,5,
Wisconsin,,Scattered,,W(LBT),18,
Wisconsin,,,Party Votes:,LBT,18,
Wisconsin,,"Vogeler, Rae ",,WG,1534,42434
Wisconsin,,Scattered,,W(WG),15,
Wisconsin,,,Party Votes:,WG,1549,
Wisconsin,,"Glatzel, Ben J.",,IND,,25096
Wisconsin,,Scattered,,W,,1254
Wisconsin,,,Senate Votes:,,556493,2138297
Wyoming,(I),"Thomas, Craig",,R,78211,135174
Wyoming,,,Party Votes:,R,78211,
Wyoming,,"Groutage, Dale",,D,24924,57671
Wyoming,,,Party Votes:,D,24924,
Wyoming,,Scattered,,W,,291
Wyoming,,,Senate Votes:,,103135,193136
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
