STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
Minnesota,S,,"Munro, Patrick D.",,R,5058,,,
Minnesota,S,,"Savior, O.",,R,2840,,,
Minnesota,S,,,Party Votes:,R,180662,,,
Minnesota,S,,"Carlson, Steve",,IDP,2148,47530,,
Minnesota,S,,"Terrell, Kevin",,IDP,1376,,,
Minnesota,S,,"Shepard, Jack",,IDP,1130,,,
Minnesota,S,,"Williams, Stephen",,IDP,862,,,
Minnesota,S,,"Books, Tom",,IDP,820,,,
Minnesota,S,,,Party Votes:,IDP,6336,,,
Minnesota,S,,"Johnson, Heather ",,LIB,Unopposed,29685,,
Minnesota,S,,Scattered,,W,,881,,
Minnesota,S,,,Total State Votes:,,380345,1981528,,
,,,,,,,,,
Mississippi,S,(I),"Cochran, Thad",,R,156313,378481,,
Mississippi,S,,"McDaniel, Chris",,R,157728,,,
Mississippi,S,,"Carey, Thomas L. ",,R,4854,,,
Mississippi,S,,,Party Votes:,R,318895,,,
Mississippi,S,,"Childers, Travis W.",,D,63548,239439,,
Mississippi,S,,"Marcy, Bill ",,D,10361,,,
Mississippi,S,,"Compton, William Bond, Jr.",,D,8465,,,
Mississippi,S,,"Rawl, Jonathan",,D,3492,,,
Mississippi,S,,,Party Votes:,D,85866,,,
Mississippi,S,,"O'Hara, Shawn",,REF,Unopposed,13938,,
Mississippi,S,,,Total State Votes:,,404761,631858,,
,,,,,,,,,
Montana,S,,"Daines, Steve",,R,110565,213709,,
Montana,S,,"Cundiff, Susan ",,R,11909,,,
Montana,S,,"Edmunds, Champ",,R,10151,,,
Montana,S,,,Party Votes:,R,132625,,,
Montana,S,,"Curtis, Amanda #",,D,#,148184,,
Montana,S,(I),"Walsh, John #",,D,48665,,,
Montana,S,,"Bohlinger, John ",,D,17187,,,
Montana,S,,"Adams, Dirk S.",,D,10139,,,
Montana,S,,Scattered,,W(D),11,,,
Montana,S,,,Party Votes:,D,76002,,,
Montana,S,,"Roots, Roger",,LIB,Unopposed,7933,,
Montana,S,,,Total State Votes:,,208627,369826,,
,,,,,,,,,
Nebraska,S,,"Sasse, Ben",,R,108443,347636,,
Nebraska,S,,"Dinsdale, Sid ",,R,49026,,,
Nebraska,S,,"Osborn, Shane",,R,45952,,,
