STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
Maryland,,"Shawver, Richard",,R,3155,
Maryland,,"Yarrington, Garry Thomas",,R,2988,
Maryland,,,Party Votes:,R,379831,
Maryland,,"Flowers, Margaret ",,GRE,*,89970
Maryland,,Scattered,,W,,3231
Maryland,,"Dorsey, Greg",,W,,242
Maryland,,"Tinus, Ed",,W,,138
Maryland,,"Young, Lih",,W,,77
Maryland,,"Smith, Charles U.",,W,,26
Maryland,,"Robinson, Bob",,W,,15
Maryland,,"Binkins, Jeffrey",,W,,7
Maryland,,,Total State Votes:,,1264175,2726170
Maryland,,,,,,
,,,,,,
Missouri,(I),"Blunt, Roy ",,R,481444,1378458
Missouri,,"Nichols, Kristi",,R,134025,
Missouri,,"Luethy, Ryan D.",,R,29328,
Missouri,,"Mowinski, Bernie",,R,18789,
Missouri,,,Party Votes:,R,663586,
Missouri,,"Kander, Jason",,D,223492,1300200
Missouri,,"Bush, Cori",,D,42453,
Missouri,,"Dubie, Chief Wana",,D,30432,
Missouri,,"Mack, Robert",,D,23509,
Missouri,,,Party Votes:,D,319886,
Missouri,,"Dine, Jonathan ",,LIB,2002,67738
Missouri,,"Young, Herschel L. ",,LIB,1642,
Missouri,,,Party Votes:,LIB,3644,
Missouri,,"McFarland, Jonathan ",,GRE,,30743
Missouri,,"Ryman, Fred ",,CON,545,25407
Missouri,,,Party Votes:,CON,545,
Missouri,,"Lee, Patrick",,W,,53
Missouri,,"Bufe, Gina",,W,,21
Missouri,,"Malone, Nathaniel (Nate)",,W,,12
Missouri,,"Kelly, Jon ",,W,,4
Missouri,,"Morgan, Thomas",,W,,4
Missouri,,"Wallace, Steven ",,W,,1
Missouri,,,Total State Votes:,,987661,2802641
Missouri,,,,,,
,,,,,,
Nevada,,"Cortez Masto, Catherine",,D,81971,521994
Nevada,,"Rheinhart, Allen",,D,5650,
Nevada,,None of These Candidates,,D,5501,
Nevada,,"O'Briant, Liddo Susan",,D,4842,
Nevada,,"Mahendra, Bobby",,D,3764,
Nevada,,,Party Votes:,D,101728,
Nevada,,"Heck, Joe",,R,74524,495079
Nevada,,"Angle, Sharron",,R,26146,
Nevada,,None of These Candidates,,R,3903,
Nevada,,"Heck, Thomas ""SAD Tom""",,R,3567,
Nevada,,"Hamilton, Eddie",,R,2057,
Nevada,,"Davis, D'Nese",,R,1938,
Nevada,,"Tarbell, Bill",,R,1179,
Nevada,,"Leeds, Robert X.",,R,662,
Nevada,,"Preble, Juston J.",,R,582,
Nevada,,"Poliak, Carlo ""Mazunga""",,R,279,
Nevada,,,Party Votes:,R,114837,
Nevada,,None of These Candidates,,W,,42257
Nevada,,"Jones, Tom",,IAP,,17128
Nevada,,"Sawyer, Thomas ""Tom""",,NPY,,14208
Nevada,,"Gumina, Tony",,NPY,,10740
Nevada,,"Williams, Jarrod M.",,NPY,,6888
Nevada,,,Total State Votes:,,216565,1108294
Nevada,,,,,,
Nevada,,,,,,
,,,,,,
New Hampshire,,"Hassan, Maggie",,D,70374,354649
New Hampshire,,"Ayotte, Kelly",,W(D),775,
New Hampshire,,Scattered,,W(D),470,
New Hampshire,,"Rubens, Jim",,W(D),67,
New Hampshire,,"Beloin, Gerard",,W(D),5,
New Hampshire,,"Alciere, Tom",,W(D),3,
New Hampshire,,"Emanuel, Stanley Michael",,W(D),2,
New Hampshire,,,Party Votes:,D,71696,
New Hampshire,(I),"Ayotte, Kelly",,R,86676,353632
New Hampshire,,"Rubens, Jim",,R,19156,
New Hampshire,,"Alciere, Tom",,R,1586,
New Hampshire,,"Beloin, Gerard",,R,1255,
New Hampshire,,"Emanuel, Stanley Michael",,R,1187,
New Hampshire,,"Hassan, Maggie",,W(R),301,
New Hampshire,,Scattered,,W(R),167,
New Hampshire,,,Party Votes:,R,110328,
New Hampshire,,"Day, Aaron",,IND,,17742
New Hampshire,,"Chabot, Brian",,LIB,,12597
New Hampshire,,Scattered,,W,,520
New Hampshire,,,Total State Votes:,,182024,739140
New Hampshire,,,,,,
,,,,,,
New York,(I),"Schumer, Charles E.",,D,Unopposed,4784218
New York,(I),"Schumer, Charles E.",,IDP,Unopposed,150654
New York,(I),"Schumer, Charles E.",,WEP,Unopposed,45401
New York,(I),"Schumer, Charles E.",,WF,Unopposed,241672
New York,,"Long, Wendy",,R,Unopposed,1723920
New York,,"Long, Wendy",,CRV,Unopposed,267622
New York,,"Long, Wendy",,REF,Unopposed,17813
New York,,"Wilson, Robin Laverne",,GRE,Unopposed,113413
New York,,"Merced, Alex",,LIB,,48120
New York,,Scattered,,W,,3472
New York,,,Total State Votes:,,,7396305
New York,,,,,,
,,,,,,
North Carolina,(I),"Burr, Richard",,R,627263,2395376
North Carolina,,"Brannon, Greg",,R,257296,
North Carolina,,"Wright, Paul",,R,86933,
North Carolina,,"Holmquist, Larry",,R,50500,
North Carolina,,,Party Votes:,R,1021992,
North Carolina,,"Ross, Deborah K.",,D,614414,2128165
North Carolina,,"Rey, Chris",,D,162869,
North Carolina,,"Griffin, Kevin D.",,D,115618,
North Carolina,,"Reeves, Ernest T.",,D,93005,
North Carolina,,,Party Votes:,D,985906,
North Carolina,,"Haugh, Sean",,LIB,Unopposed,167592
North Carolina,,,Total State Votes:,,2007898,4691133
North Carolina,,,,,,
,,,,,,
North Dakota,(I),"Hoeven, John",,R,103677,268788
North Dakota,,Scattered,,W(R),445,
North Dakota,,,Party Votes:,R,104122,
North Dakota,,"Glassheim, Eliot",,DNL,17243,58116
North Dakota,,"Hill, Tom",,D,,
North Dakota,,Scattered,,W(DNL),48,
North Dakota,,,Party Votes:,DNL,17291,
North Dakota,,"Marquette, Robert N.",,LIB,1089,10556
North Dakota,,Scattered,,W(LIB),5,
North Dakota,,,Party Votes:,LIB,1094,
North Dakota,,"Germalic, James",,IND,,4675
North Dakota,,Scattered,,W,,366
North Dakota,,,,,,
North Dakota,,,Total State Votes:,,122507,342501
,,,,,,
Ohio,(I),"Portman, Rob",,R,1336686,3118567
Ohio,,"Eckhart, Don Elijah",,R,290268,
Ohio,,,Party Votes:,R,1626954,
Ohio,,"Strickland, Ted",,D,742676,1996908
