STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
New York,S,,"Koppel, Martin",,SWP,,14811
New York,S,,"Hirschfeld, Abraham",,BLD,,16196
New York,S,,,Senate Votes:,,n/a,6702875
North Carolina,S,,"Burr, Richard",,R,302319,1791450
North Carolina,S,,"Hendrix, John Ross",,R,25971,
North Carolina,S,,"Wiley, Albert Lee, Jr.",,R,15585,
North Carolina,S,,,Party Votes:,R,343875,
North Carolina,S,,"Bowles, Erskine",,D,Unopposed,1632527
North Carolina,S,,"Bailey, Tom",,LBT,Unopposed,47743
North Carolina,S,,"Rucker, Walter F.",,W,,362
North Carolina,S,,,Senate Votes:,,343875,3472082
North Dakota,S,(I),"Dorgan, Byron L.",,DNL,39636,212143
North Dakota,S,,,Party Votes:,DNL,39636,
North Dakota,S,,"Liffrig, Mike",,R,39329,98553
North Dakota,S,,,Party Votes:,R,39329,
North Dakota,S,,,Senate Votes:,,78965,310696
Ohio,S,(I),"Voinovich, George",,R,640082,3464651
Ohio,S,,"Mitchel, John",,R,195476,
Ohio,S,,,Party Votes:,R,835558,
Ohio,S,,"Fingerhut, Eric D.",,D,672989,1961249
Ohio,S,,"Dennerll, Norbert G., Jr.",,D,277721,
Ohio,S,,,Party Votes:,D,950710,
Ohio,S,,"Meyers, Helen",,W,,296
Ohio,S,,,Senate Votes:,,1786268,5426196
Oklahoma,S,,"Coburn, Tom",,R,145974,763433
Oklahoma,S,,"Humphreys, Kirk",,R,59877,
Oklahoma,S,,"Anthony, Bob",,R,29596,
Oklahoma,S,,"Hunt, Jay Richard",,R,2944,
Oklahoma,S,,,Party Votes:,R,238391,
Oklahoma,S,,"Carson, Brad ",,D,280026,596750
Oklahoma,S,,"Fisher, Carroll",,D,28385,
Oklahoma,S,,"Rogers, Jim",,D,20179,
Oklahoma,S,,"Johnson, Monte E.",,D,17274,
Oklahoma,S,,"Woodson, W. B. G.",,D,6932,
Oklahoma,S,,,Party Votes:,D,352796,
Oklahoma,S,,"Bilyeu, Sheila",,I,,86663
Oklahoma,S,,,Senate Votes:,,591187,1446846
Oregon,S,(I),"Wyden, Ron",,D,345219,1128728
Oregon,S,,Scattered,,W(D),3387,
Oregon,S,,,Party Votes:,D,348606,
Oregon,S,,"King, Al",,R,85035,565254
Oregon,S,,"Broussard, Bruce",,R,53084,
Oregon,S,,"Abshier, Thomas Lee",,R,51879,
